party_id,name,type,phone,email,KYC_status,address
B001,Alice Buyer,buyer,03001234567,alice@example.com,complete,"123 Street, City"
B002,Bob Buyer,buyer,03007654321,bob@example.com,partial,"45 Road, City"
B003,Charlie Buyer,buyer,03009876543,charlie@example.com,complete,"67 Lane, City"
B004,David Buyer,buyer,03001112222,david@example.com,partial,"89 Ave, City"
B005,Eva Buyer,buyer,03002223333,eva@example.com,missing,"11 Market, City"
B006,Frank Buyer,buyer,03003334444,frank@example.com,complete,"22 Plaza, City"
B007,Grace Buyer,buyer,03004445555,grace@example.com,complete,"33 Park, City"
B008,Hector Buyer,buyer,03005556666,hector@example.com,partial,"44 Street, City"
B009,Ian Buyer,buyer,03006667777,ian@example.com,complete,"55 Road, City"
B010,Jane Buyer,buyer,03007778888,jane@example.com,complete,"66 Lane, City"
B011,Ken Buyer,buyer,03008889999,ken@example.com,missing,"77 Ave, City"
B012,Lisa Buyer,buyer,03009990000,lisa@example.com,complete,"88 Market, City"
S001,Aaron Seller,seller,03010010010,aaron@example.com,complete,"Seller Addr 1"
S002,Bella Seller,seller,03010110110,bella@example.com,complete,"Seller Addr 2"
S003,Carl Seller,seller,03010210210,carl@example.com,complete,"Seller Addr 3"
S004,Diana Seller,seller,03010310310,diana@example.com,partial,"Seller Addr 4"
S005,Edward Seller,seller,03010410410,edward@example.com,complete,"Seller Addr 5"
S006,Fiona Seller,seller,03010510510,fiona@example.com,complete,"Seller Addr 6"
S007,George Seller,seller,03010610610,george@example.com,complete,"Seller Addr 7"
S008,Hannah Seller,seller,03010710710,hannah@example.com,complete,"Seller Addr 8"
S009,Irene Seller,seller,03010810810,irene@example.com,complete,"Seller Addr 9"
S010,Jack Seller,seller,03010910910,jack@example.com,complete,"Seller Addr 10"
S011,Kate Seller,seller,03011011010,kate@example.com,partial,"Seller Addr 11"
S012,Leo Seller,seller,03011111110,leo@example.com,complete,"Seller Addr 12"
A001,Agent Ahmed,agent,03020020020,agent1@example.com,complete,"Agency 1"
A002,Agent Bilal,agent,03020120121,agent2@example.com,complete,"Agency 2"
A003,Agent Clara,agent,03020220222,agent3@example.com,complete,"Agency 3"
